The Curry Room, Kharagpur
Farzi Cafe, Connaught Place New Delhi
Big Chill, Khan Market New Delhi
Sagar Ratna, Defence Colony New Delhi
Social, Hauz Khas
Diggin, Anand Lok New Delhi
Gulati Restaurant, Pandara Road New Delhi
Saravana Bhavan, Janpath New Delhi
Food Studio, Kharagpur
biryani blues, connaught-place new-delhi
tamasha, connaught-place new-delhi
